Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Temp,Humid,LUX,VoltsIn,Dark,OptoFreq,OptoPW,OptoCol1,OptoCol2,Error
12/20/2019,09:52:17,0.17,1,57,55,67,64,50,66,60,51,64,64,54,55,25.00,53.00,567,5.00,0,40,8,0,0,0
12/20/2019,09:52:17,196.14,2,64,50,51,67,54,61,66,55,53,67,70,54,24.00,61.00,528,5.00,0,40,8,0,0,0
12/20/2019,09:52:17,395.30,3,50,65,59,56,69,54,52,58,64,65,59,61,27.00,55.00,532,5.00,0,40,8,0,0,0
12/20/2019,09:52:17,595.15,4,60,58,62,67,55,63,51,50,67,54,63,54,25.00,62.00,522,5.00,0,40,8,0,0,0
12/20/2019,09:52:17,796.99,5,50,66,54,63,50,59,61,54,58,70,57,51,27.00,47.00,579,5.00,0,40,8,0,0,0
12/20/2019,09:52:18,1.85,6,60,58,69,58,52,64,50,55,55,53,51,66,26.00,61.00,525,5.00,0,40,8,0,0,0
12/20/2019,09:52:18,196.70,7,57,63,53,60,69,65,54,50,57,66,59,52,27.00,51.00,541,5.00,0,40,8,0,0,0
12/20/2019,09:52:18,396.58,8,70,66,59,67,62,61,50,52,59,65,55,58,24.00,58.00,518,5.00,0,40,8,0,0,0
12/20/2019,09:52:18,596.26,9,64,59,70,69,56,66,55,57,60,54,57,60,25.00,45.00,521,5.00,0,40,8,0,0,0
12/20/2019,09:52:18,795.08,10,53,59,66,69,64,51,69,51,67,61,52,60,20.00,61.00,515,5.00,0,40,8,0,0,0
12/20/2019,09:52:19,0.22,11,57,58,67,52,50,69,55,67,66,59,66,56,19.00,50.00,530,5.00,0,40,8,0,0,0
12/20/2019,09:52:19,195.06,12,52,56,53,62,60,51,51,56,62,60,57,67,21.00,61.00,526,5.00,0,40,8,0,0,0
12/20/2019,09:52:19,396.15,13,65,59,58,64,51,67,63,50,63,57,52,68,21.00,53.00,518,5.00,0,40,8,0,0,0
