Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Temp,Humid,LUX,VoltsIn,Dark,OptoFreq,OptoPW,OptoCol1,OptoCol2,Error,Index
12/27/2019,22:23:08,3.21,1,66,67,57,63,70,69,51,60,54,56,63,69,18.00,46.00,578,5.00,0,40,8,0,0,0,151
12/27/2019,22:23:08,203.21,2,54,67,57,68,53,55,58,57,64,56,53,60,18.00,59.00,529,5.00,0,40,8,0,0,0,152
12/27/2019,22:23:08,403.21,3,57,61,51,56,62,56,58,62,68,64,54,70,20.00,49.00,514,5.00,0,40,8,0,0,0,153
12/27/2019,22:23:08,603.21,4,50,54,57,57,60,56,53,62,63,50,58,62,24.00,46.00,571,5.00,0,40,8,0,0,0,154
12/27/2019,22:23:08,803.21,5,53,67,51,55,51,64,61,62,52,59,62,65,28.00,52.00,508,5.00,0,40,8,0,0,0,155
12/27/2019,22:23:09,3.03,6,53,59,52,54,61,70,53,68,69,66,70,69,22.00,57.00,553,5.00,0,40,8,0,0,0,161
12/27/2019,22:23:09,203.03,7,55,60,66,69,53,63,55,68,66,52,52,57,28.00,55.00,542,5.00,0,40,8,0,0,0,162
12/27/2019,22:23:09,403.03,8,52,59,57,62,59,63,52,50,70,51,68,58,19.00,61.00,513,5.00,0,40,8,0,0,0,163
12/27/2019,22:23:09,603.03,9,62,67,54,66,65,63,67,65,62,60,70,63,24.00,46.00,506,5.00,0,40,8,0,0,0,164
12/27/2019,22:23:09,803.03,10,52,52,55,68,66,58,58,51,54,63,68,67,26.00,45.00,561,5.00,0,40,8,0,0,0,165
12/27/2019,22:23:10,4.50,11,59,69,59,70,54,68,61,55,56,67,55,61,21.00,59.00,519,5.00,0,40,8,0,0,0,171
12/27/2019,22:23:10,204.50,12,67,59,52,70,61,70,53,51,69,67,55,70,20.00,62.00,511,5.00,0,40,8,0,0,0,172
12/27/2019,22:23:10,404.50,13,67,68,50,67,58,53,67,66,68,62,62,59,20.00,64.00,508,5.00,0,40,8,0,0,0,173
12/27/2019,22:23:10,604.50,14,60,64,61,52,51,62,70,68,59,51,65,65,27.00,47.00,556,5.00,0,40,8,0,0,0,174
12/27/2019,22:23:10,804.50,15,69,63,65,53,60,60,66,68,52,63,57,66,21.00,63.00,562,5.00,0,40,8,0,0,0,175
12/27/2019,22:23:11,0.03,16,64,58,63,57,70,67,60,54,57,51,66,67,19.00,58.00,506,5.00,0,40,8,0,0,0,181
12/27/2019,22:23:11,200.03,17,66,52,62,67,54,68,51,67,60,51,59,63,18.00,57.00,503,5.00,0,40,8,0,0,0,182
12/27/2019,22:23:11,400.03,18,70,58,59,53,63,70,53,70,52,58,63,63,22.00,55.00,552,5.00,0,40,8,0,0,0,183
12/27/2019,22:23:11,600.03,19,59,57,57,67,51,69,60,60,67,64,59,56,25.00,61.00,512,5.00,0,40,8,0,0,0,184
12/27/2019,22:23:11,800.03,20,69,55,65,56,68,69,69,55,56,55,55,61,19.00,50.00,518,5.00,0,40,8,0,0,0,185
